Date,Channel Name,Total Views,Total Subscribers
2025-03-30,GNN News,1698885030,3490000
2025-03-30,Public News,1157017236,3260000
2025-03-30,24 News hd,3854513328,8630000
2025-03-30,Bol News,3894331675,7780000
2025-03-30,Hum News,460916385,1620000
2025-03-30,Neo news,686802477,2240000
2025-03-31,Geo Entertainment,1436203039,3640000
2025-03-31,Geo News,9480757799,17900000
2025-03-31,Samma Entertainment,89935841,166000
2025-03-31,Samma News,6199510354,12500000
2025-03-31,Dawn news,713776052,1930000
2025-03-31,Express News,1590468770,4740000
2025-03-31,ARY News,8828332285,14600000
2025-03-31,ARY Digital,62615052479,62100000
2025-03-31,Duniya News,4906039769,8710000
2025-03-31,Aaj News,448937336,1490000
2025-03-31,92 News,1970753901,5700000
2025-03-31,GNN News,1699560215,3490000
2025-03-31,Public News,1157278314,3260000
2025-03-31,24 News hd,3855885551,8630000
2025-03-31,Bol News,3895481185,7780000
2025-03-31,Hum News,461157778,1620000
2025-03-31,Neo news,686879462,2240000
2025-04-01,Geo Entertainment,1436793366,3640000
2025-04-01,Geo News,9485649569,17900000
2025-04-01,Samma Entertainment,89939197,166000
2025-04-01,Samma News,6203140752,12500000
2025-04-01,Dawn news,714069050,1930000
2025-04-01,Express News,1591362069,4740000
